time: 1	 sensorID: 41	 sendTo: 51
time: 1	 sensorID: 42	 sendTo: 51
time: 1	 sensorID: 43	 sendTo: 51
time: 1	 sensorID: 44	 sendTo: 51
time: 1	 sensorID: 45	 sendTo: 51
time: 1	 sensorID: 46	 sendTo: 51
time: 1	 sensorID: 47	 sendTo: 51
time: 1	 sensorID: 48	 sendTo: 51
time: 1	 sensorID: 49	 sendTo: 51
time: 1	 sensorID: 50	 sendTo: 51
time: 1	 sensorID: 51	 sendTo: 26
time: 2	 sensorID: 1	 sendTo: 51
time: 2	 sensorID: 2	 sendTo: 51
time: 2	 sensorID: 3	 sendTo: 51
time: 2	 sensorID: 4	 sendTo: 51
time: 2	 sensorID: 5	 sendTo: 51
time: 2	 sensorID: 6	 sendTo: 51
time: 2	 sensorID: 7	 sendTo: 51
time: 2	 sensorID: 8	 sendTo: 51
time: 2	 sensorID: 9	 sendTo: 51
time: 2	 sensorID: 10	 sendTo: 51
time: 2	 sensorID: 11	 sendTo: 51
time: 2	 sensorID: 12	 sendTo: 51
time: 2	 sensorID: 13	 sendTo: 51
time: 2	 sensorID: 14	 sendTo: 51
time: 2	 sensorID: 15	 sendTo: 51
time: 2	 sensorID: 16	 sendTo: 51
time: 2	 sensorID: 17	 sendTo: 51
time: 2	 sensorID: 18	 sendTo: 51
time: 2	 sensorID: 19	 sendTo: 51
time: 2	 sensorID: 20	 sendTo: 51
time: 2	 sensorID: 21	 sendTo: 51
time: 2	 sensorID: 22	 sendTo: 51
time: 2	 sensorID: 23	 sendTo: 51
time: 2	 sensorID: 24	 sendTo: 51
time: 2	 sensorID: 25	 sendTo: 51
time: 2	 sensorID: 26	 sendTo: 51
time: 2	 sensorID: 27	 sendTo: 51
time: 2	 sensorID: 28	 sendTo: 51
time: 2	 sensorID: 29	 sendTo: 51
time: 2	 sensorID: 30	 sendTo: 51
time: 2	 sensorID: 31	 sendTo: 51
time: 2	 sensorID: 32	 sendTo: 51
time: 2	 sensorID: 33	 sendTo: 51
time: 2	 sensorID: 34	 sendTo: 51
time: 2	 sensorID: 35	 sendTo: 51
time: 2	 sensorID: 36	 sendTo: 51
time: 2	 sensorID: 37	 sendTo: 51
time: 2	 sensorID: 38	 sendTo: 51
time: 2	 sensorID: 39	 sendTo: 51
time: 2	 sensorID: 40	 sendTo: 51
time: 2	 sensorID: 41	 sendTo: 51
time: 2	 sensorID: 42	 sendTo: 51
time: 2	 sensorID: 43	 sendTo: 51
time: 2	 sensorID: 44	 sendTo: 51
time: 2	 sensorID: 45	 sendTo: 51
time: 2	 sensorID: 46	 sendTo: 51
time: 2	 sensorID: 47	 sendTo: 51
time: 2	 sensorID: 48	 sendTo: 51
time: 2	 sensorID: 49	 sendTo: 51
time: 2	 sensorID: 50	 sendTo: 51
time: 3	 sensorID: 1	 sendTo: 51
time: 3	 sensorID: 2	 sendTo: 51
time: 3	 sensorID: 3	 sendTo: 51
time: 3	 sensorID: 4	 sendTo: 51
time: 3	 sensorID: 5	 sendTo: 51
time: 3	 sensorID: 6	 sendTo: 51
time: 3	 sensorID: 7	 sendTo: 51
time: 3	 sensorID: 8	 sendTo: 51
time: 3	 sensorID: 9	 sendTo: 51
time: 3	 sensorID: 10	 sendTo: 51
time: 3	 sensorID: 11	 sendTo: 51
time: 3	 sensorID: 12	 sendTo: 51
time: 3	 sensorID: 13	 sendTo: 51
time: 3	 sensorID: 14	 sendTo: 51
time: 3	 sensorID: 15	 sendTo: 51
time: 3	 sensorID: 16	 sendTo: 51
time: 3	 sensorID: 17	 sendTo: 51
time: 3	 sensorID: 18	 sendTo: 51
time: 3	 sensorID: 19	 sendTo: 51
time: 3	 sensorID: 20	 sendTo: 51
time: 3	 sensorID: 21	 sendTo: 51
time: 3	 sensorID: 22	 sendTo: 51
time: 3	 sensorID: 23	 sendTo: 51
time: 3	 sensorID: 24	 sendTo: 51
time: 3	 sensorID: 25	 sendTo: 51
time: 3	 sensorID: 26	 sendTo: 51
time: 3	 sensorID: 27	 sendTo: 51
time: 3	 sensorID: 28	 sendTo: 51
time: 3	 sensorID: 29	 sendTo: 51
time: 3	 sensorID: 30	 sendTo: 51
time: 3	 sensorID: 31	 sendTo: 51
time: 3	 sensorID: 32	 sendTo: 51
time: 3	 sensorID: 33	 sendTo: 51
time: 3	 sensorID: 34	 sendTo: 51
time: 3	 sensorID: 35	 sendTo: 51
time: 3	 sensorID: 36	 sendTo: 51
time: 3	 sensorID: 37	 sendTo: 51
time: 3	 sensorID: 38	 sendTo: 51
time: 3	 sensorID: 39	 sendTo: 51
time: 3	 sensorID: 40	 sendTo: 51
time: 3	 sensorID: 41	 sendTo: 51
time: 3	 sensorID: 42	 sendTo: 51
time: 3	 sensorID: 43	 sendTo: 51
time: 3	 sensorID: 44	 sendTo: 51
time: 3	 sensorID: 45	 sendTo: 51
time: 3	 sensorID: 46	 sendTo: 51
time: 3	 sensorID: 47	 sendTo: 51
time: 3	 sensorID: 48	 sendTo: 51
time: 3	 sensorID: 49	 sendTo: 51
time: 3	 sensorID: 50	 sendTo: 51
time: 4	 sensorID: 1	 sendTo: 51
time: 4	 sensorID: 2	 sendTo: 1
time: 4	 sensorID: 3	 sendTo: 1
time: 4	 sensorID: 4	 sendTo: 1
time: 4	 sensorID: 5	 sendTo: 1
time: 4	 sensorID: 6	 sendTo: 1
time: 4	 sensorID: 7	 sendTo: 1
time: 4	 sensorID: 8	 sendTo: 1
time: 4	 sensorID: 9	 sendTo: 1
time: 4	 sensorID: 10	 sendTo: 1
time: 4	 sensorID: 11	 sendTo: 1
time: 4	 sensorID: 12	 sendTo: 1
time: 4	 sensorID: 13	 sendTo: 1
time: 4	 sensorID: 14	 sendTo: 1
time: 4	 sensorID: 15	 sendTo: 1
time: 4	 sensorID: 16	 sendTo: 1
time: 4	 sensorID: 17	 sendTo: 1
time: 4	 sensorID: 18	 sendTo: 1
time: 4	 sensorID: 19	 sendTo: 1
time: 4	 sensorID: 20	 sendTo: 1
time: 4	 sensorID: 21	 sendTo: 1
time: 4	 sensorID: 22	 sendTo: 1
time: 4	 sensorID: 23	 sendTo: 1
time: 4	 sensorID: 24	 sendTo: 1
time: 4	 sensorID: 25	 sendTo: 1
time: 4	 sensorID: 26	 sendTo: 1
time: 4	 sensorID: 27	 sendTo: 1
time: 4	 sensorID: 28	 sendTo: 1
